combination_type,scenario,scenario_label,scenario_purpose,network_mode,algorithm,algorithm_label,complexity,seed_index,fleet_seed,algorithm_seed,composition_regime,fleet_size,nominal_weights_json,actual_weights_json,device_counts_json,spatial_clustering,partition,baseline_curtailment_mwh,remaining_curtailment_mwh,accepted_absorption_mwh,mean_reduction_pct,availability_fraction,mean_network_scale,network_violation_steps,max_soc_violation,total_charging_mwh,excess_grid_charging_mwh,total_discharge_mwh,dataset_audit_json,protocol,mean_formula_intensity,mean_nn_intensity,mean_optimized_intensity,mean_predicted_response_kw
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),0,4192405,5192405,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,33.770062841823574,12.18729854092581,21.582764300897765,63.910939111928236,0.8953080000000005,0.958972240904947,0,0.0,21.582764300897765,1.9326762412674726e-15,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.6603585657370519,""profile_bootstrap"":true,""selected_unique_profile_sources"":1004,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.727461139896373,""profile_bootstrap"":true,""selected_unique_profile_sources"":965,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),1,4192406,5192406,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,34.60258790505812,12.76100082034128,21.841587084716842,63.121253082703944,0.8949139999999988,0.9541271605104424,0,0.0,21.84158708471685,1.2884508275116482e-15,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.6168768186226965,""profile_bootstrap"":true,""selected_unique_profile_sources"":1031,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.7346514047866806,""profile_bootstrap"":true,""selected_unique_profile_sources"":961,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),2,4192407,5192407,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,34.571407372048384,13.056504824573864,21.51490254747452,62.233227348649145,0.8935520000000002,0.9529492252423025,0,0.0,21.51490254747452,7.958078640513122e-16,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.5921680993314231,""profile_bootstrap"":true,""selected_unique_profile_sources"":1047,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.7132579650565263,""profile_bootstrap"":true,""selected_unique_profile_sources"":973,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),3,4192408,5192408,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,34.40789121539473,12.645889812515826,21.7620014028789,63.247123360882334,0.8936060000000008,0.9558196726612924,0,0.0,21.7620014028789,6.063298011819521e-16,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.6359175662414132,""profile_bootstrap"":true,""selected_unique_profile_sources"":1019,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.7185567010309277,""profile_bootstrap"":true,""selected_unique_profile_sources"":970,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),4,4192409,5192409,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,34.22166491262871,12.437997757110143,21.783667155518568,63.654609473660685,0.8943359999999999,0.9548188520057015,0,0.0,21.783667155518568,9.094947017729283e-16,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.629521016617791,""profile_bootstrap"":true,""selected_unique_profile_sources"":1023,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.7455497382198952,""profile_bootstrap"":true,""selected_unique_profile_sources"":955,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),5,4192410,5192410,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,33.40390885113893,11.766193660737787,21.637715190401142,64.77599758407732,0.894052,0.959117116102844,0,0.0,21.637715190401142,1.5158245029548803e-15,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.6311154598825832,""profile_bootstrap"":true,""selected_unique_profile_sources"":1022,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.741901776384535,""profile_bootstrap"":true,""selected_unique_profile_sources"":957,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),6,4192411,5192411,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,34.28020632264545,12.58313920365844,21.697067118987007,63.293280427702555,0.8945940000000004,0.9553497686193455,0,0.0,21.697067118987007,5.305385760342081e-16,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.648862512363996,""profile_bootstrap"":true,""selected_unique_profile_sources"":1011,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.7473794549266248,""profile_bootstrap"":true,""selected_unique_profile_sources"":954,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),7,4192412,5192412,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,33.5646486481881,11.935629584333775,21.629019063854322,64.43987926273708,0.8946139999999999,0.9584653616477871,0,0.0,21.629019063854326,1.1368683772161603e-15,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.629521016617791,""profile_bootstrap"":true,""selected_unique_profile_sources"":1023,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.731048805815161,""profile_bootstrap"":true,""selected_unique_profile_sources"":963,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),8,4192413,5192413,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,35.266990334508364,13.549160174832085,21.71783015967628,61.581183859700154,0.8944260000000006,0.9494639808869493,0,0.0,21.71783015967628,1.0231815394945442e-15,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.6184466019417476,""profile_bootstrap"":true,""selected_unique_profile_sources"":1030,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.711498973305955,""profile_bootstrap"":true,""selected_unique_profile_sources"":974,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
predefined_mixed_scenario,S1-B,Building-heat pump-residential,建筑、热泵和带受控负荷住宅的高差异融合,aggregate,centralized_optimal,Centralized greedy UB,O(N),9,4192414,5192414,nominal,5000,"{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":0.3333333333333333,""heapo_heat_pumps"":0.3333333333333333,""smart_grid_smart_city"":0.3333333333333333}","{""bdg2_building_data_genome"":1667,""heapo_heat_pumps"":1667,""smart_grid_smart_city"":1666}",False,test,35.3534098498996,13.664011867851407,21.68939798204819,61.350229225795,0.8946980000000001,0.9516240551083486,0,0.0,21.68939798204819,1.3263464400855202e-15,0.0,"{""bdg2_building_data_genome"":{""available_profile_sources"":1570,""logical_devices"":1667,""mean_profile_reuse"":1.620019436345967,""profile_bootstrap"":true,""selected_unique_profile_sources"":1029,""weight"":0.3333333333333333},""heapo_heat_pumps"":{""available_profile_sources"":1362,""logical_devices"":1667,""mean_profile_reuse"":1.7565858798735512,""profile_bootstrap"":true,""selected_unique_profile_sources"":949,""weight"":0.3333333333333333},""smart_grid_smart_city"":{""available_profile_sources"":5000,""logical_devices"":1666,""mean_profile_reuse"":1.0,""profile_bootstrap"":false,""selected_unique_profile_sources"":1666,""weight"":0.3333333333333333}}",dataset_combinations_mixed_physical_fleet_v1,,,,
