combination_type,pair_id,pair_label,dataset_a,dataset_a_label,weight_a,devices_a,dataset_b,dataset_b_label,weight_b,devices_b,fleet_size,seed,seed_index,network_mode,availability_mode,baseline_curtailment_mwh,remaining_curtailment_mwh,accepted_absorption_mwh,curtailment_reduction_pct,availability_fraction,mean_network_scale,network_violation_steps,max_soc_violation,profile_bootstrap_a,mean_profile_reuse_a,profile_bootstrap_b,mean_profile_reuse_b,protocol,pair_index
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860808,0,aggregate,data_driven,120.53686858318223,115.38396763339028,5.152900949791942,4.274958367809212,0.8940699999999997,0.27048586303553046,0,0.0,True,1.9904458598726114,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860809,1,aggregate,data_driven,121.26917606108027,116.29068175338948,4.978494307690796,4.105325416891801,0.894984,0.26136737509949926,0,0.0,True,2.0161290322580645,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860810,2,aggregate,data_driven,121.40780801691976,116.50629538674808,4.901512630171677,4.037230150377636,0.8941260000000004,0.26038344872957986,0,0.0,True,2.0408163265306123,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860811,3,aggregate,data_driven,119.34116342302896,113.71236147684634,5.628801946182616,4.716563660629141,0.8948780000000005,0.2722098909090814,0,0.0,True,1.9841269841269842,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860812,4,aggregate,data_driven,121.1359729251381,116.14160647134506,4.994366453793042,4.122942453171661,0.8953919999999999,0.2685558673999559,0,0.0,True,1.9968051118210863,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860813,5,aggregate,data_driven,121.28174465048747,116.31504598324528,4.96669866724218,4.0951741596027755,0.8945099999999995,0.26211981879571494,0,0.0,True,1.9700551615445232,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860814,6,aggregate,data_driven,121.02123163472764,115.94375727853223,5.077474356195403,4.195523618137103,0.8954120000000003,0.26747568458786003,0,0.0,True,1.988862370723946,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860815,7,aggregate,data_driven,119.6001408784918,114.12672540558687,5.473415472904933,4.57642895125489,0.8950660000000001,0.27175488227329,0,0.0,True,1.9825535289452816,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860816,8,aggregate,data_driven,120.98685708509828,115.94034870169077,5.046508383407516,4.171121149017005,0.8962319999999996,0.2697039928554118,0,0.0,True,2.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860817,9,aggregate,data_driven,85.97449603575886,70.28368362065397,15.690812415104883,18.25054305474347,0.89545,0.6204908885484487,0,0.0,True,2.0080321285140563,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860818,10,aggregate,data_driven,110.63861123124715,96.18944277053885,14.449168460708314,13.05978835047732,0.8949819999999997,0.2503266955563014,0,0.0,True,2.034174125305126,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860819,11,aggregate,data_driven,120.94042937426944,115.8927051756409,5.047724198628545,4.173727697797034,0.8940559999999996,0.26994313798761593,0,0.0,True,2.009646302250804,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860820,12,aggregate,data_driven,121.23827134560878,116.24577866846332,4.992492677145463,4.117918064761561,0.895286,0.2639798659096347,0,0.0,True,2.029220779220779,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860821,13,aggregate,data_driven,119.57513822086594,114.08672115338548,5.488417067480457,4.589931610484831,0.8943139999999995,0.2722613611660085,0,0.0,True,1.9747235387045814,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860822,14,aggregate,data_driven,121.17184818196985,116.2440692683285,4.927778913641354,4.06676879784903,0.8948339999999997,0.2689762688649384,0,0.0,True,1.9904458598726114,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860823,15,aggregate,data_driven,121.29811190911576,116.33498522444867,4.963126684667084,4.091676784207307,0.896106,0.2615678134095642,0,0.0,True,2.032520325203252,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860824,16,aggregate,data_driven,121.31887792816933,116.36795494692241,4.950922981246915,4.080917220630963,0.8948759999999997,0.2616310810943614,0,0.0,True,1.987281399046105,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860825,17,aggregate,data_driven,119.34941672725125,113.725566763602,5.623849963649251,4.712088351886471,0.8960200000000004,0.27262097521736206,0,0.0,True,2.0161290322580645,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860826,18,aggregate,data_driven,107.56164716599032,91.85668401434906,15.704963151641266,14.600894989461432,0.8954899999999991,0.27298415076071947,0,0.0,True,2.0064205457463884,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860827,19,aggregate,data_driven,119.55116490588168,114.04836384941068,5.502801056470998,4.602883678133256,0.8945880000000002,0.2716759367596059,0,0.0,True,2.0242914979757085,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860828,20,aggregate,data_driven,110.41978948357647,95.83130664325844,14.588482840318024,13.211837215545383,0.8951739999999996,0.2518145306223895,0,0.0,True,2.0048115477145148,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860829,21,aggregate,data_driven,120.48518134573925,115.27780511545136,5.207376230287887,4.32200555464578,0.8950560000000003,0.2705345462681544,0,0.0,True,1.9952114924181963,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860830,22,aggregate,data_driven,121.32743567328251,116.37614033557789,4.951295337704622,4.080936278120766,0.8956280000000001,0.260651135831282,0,0.0,True,1.9936204146730463,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860831,23,aggregate,data_driven,120.89113509594348,115.80405267424862,5.0870824216948565,4.207986315669524,0.8951959999999997,0.26988664383711575,0,0.0,True,1.9968051118210863,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
pairwise_equal_mix,P017,BDG2 + Irish,bdg2_building_data_genome,BDG2,0.5,2500,irish_domestic_smart_meters,Irish,0.5,2500,5000,21860832,24,aggregate,data_driven,121.29417310014149,116.34429975255993,4.94987334758156,4.0808830474444155,0.895272,0.2632748389815572,0,0.0,True,1.9952114924181963,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,16
