combination_type,pair_id,pair_label,dataset_a,dataset_a_label,weight_a,devices_a,dataset_b,dataset_b_label,weight_b,devices_b,fleet_size,seed,seed_index,network_mode,availability_mode,baseline_curtailment_mwh,remaining_curtailment_mwh,accepted_absorption_mwh,curtailment_reduction_pct,availability_fraction,mean_network_scale,network_violation_steps,max_soc_violation,profile_bootstrap_a,mean_profile_reuse_a,profile_bootstrap_b,mean_profile_reuse_b,protocol,pair_index
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260808,0,aggregate,data_driven,35.96211718113416,14.014685703140405,21.947431477993756,61.02930861230675,0.8952939999999999,0.9613116202508853,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260809,1,aggregate,data_driven,36.43374112659734,14.69598194998752,21.73775917660982,59.66381300530467,0.8932939999999997,0.9650162306034491,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260810,2,aggregate,data_driven,35.39607639463343,13.71232225510867,21.683754139524762,61.260332636225016,0.8944319999999999,0.9708141162745361,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260811,3,aggregate,data_driven,36.17281323928766,14.267932550479351,21.904880688808312,60.55619877808452,0.8943539999999996,0.9624425384966988,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260812,4,aggregate,data_driven,35.46437004245241,13.732786162629559,21.73158387982285,61.27723079194468,0.89513,0.9672035429334471,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260813,5,aggregate,data_driven,36.028338020992074,14.191843617895387,21.836494403096687,60.60921930501916,0.8942759999999996,0.9651024221320432,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260814,6,aggregate,data_driven,35.39299085010441,13.740018832544248,21.652972017560163,61.178700916416865,0.8946560000000001,0.9667791104619035,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260815,7,aggregate,data_driven,35.8146394347528,14.099316543921052,21.715322890831747,60.63253248826581,0.8958320000000001,0.9651995548915243,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260816,8,aggregate,data_driven,34.772031463077546,13.30677531343451,21.465256149643036,61.73138366228553,0.8957560000000002,0.9726592203819051,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260817,9,aggregate,data_driven,34.47133244296147,12.692398304608961,21.778934138352508,63.1798442209606,0.8946339999999992,0.9685731343133861,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260818,10,aggregate,data_driven,36.012118558328076,14.378414301989135,21.63370425633894,60.0734006284559,0.8958759999999995,0.9636661499347805,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260819,11,aggregate,data_driven,36.8035917428933,14.854171927864645,21.94941981502866,59.639341639167725,0.8941459999999999,0.960084791418384,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260820,12,aggregate,data_driven,36.81631220239374,14.860828207014965,21.955483995378774,59.63520701009065,0.8944179999999999,0.9603254563043792,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260821,13,aggregate,data_driven,35.13228868817736,13.375600331879468,21.756688356297893,61.9278992877552,0.8949620000000001,0.9686615189191509,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260822,14,aggregate,data_driven,34.69278022038239,13.075929152243937,21.616851068138452,62.30936503451031,0.8960300000000003,0.9718720215683381,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260823,15,aggregate,data_driven,34.88077697277917,13.522262768556917,21.35851420422225,61.23290837497788,0.8954860000000003,0.969918300380934,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260824,16,aggregate,data_driven,35.007818255946916,13.49188936301179,21.515928892935126,61.4603536148104,0.8945339999999999,0.9689981958212943,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260825,17,aggregate,data_driven,36.211116308032246,14.657408448982618,21.553707859049627,59.522351301466635,0.8951479999999993,0.9618063559192771,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260826,18,aggregate,data_driven,36.228130417360205,14.46986430389062,21.758266113469585,60.05903661824959,0.8948099999999997,0.9619543597561631,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260827,19,aggregate,data_driven,35.70921081128024,14.184692138120997,21.524518673159246,60.277217513750905,0.8960000000000004,0.9646742987121915,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
pairwise_equal_mix,P031,LCL + SGSC,low_carbon_london,LCL,0.5,2500,smart_grid_smart_city,SGSC,0.5,2500,5000,23260828,20,aggregate,data_driven,36.349678511551566,14.721907055298953,21.627771456252614,59.49920973683308,0.8942519999999996,0.9649481743242505,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,30
