combination_type,pair_id,pair_label,dataset_a,dataset_a_label,weight_a,devices_a,dataset_b,dataset_b_label,weight_b,devices_b,fleet_size,seed,seed_index,network_mode,availability_mode,baseline_curtailment_mwh,remaining_curtailment_mwh,accepted_absorption_mwh,curtailment_reduction_pct,availability_fraction,mean_network_scale,network_violation_steps,max_soc_violation,profile_bootstrap_a,mean_profile_reuse_a,profile_bootstrap_b,mean_profile_reuse_b,protocol,pair_index
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860808,0,aggregate,data_driven,11.315558975275879,0.5029966679240978,10.812562307351781,95.5548226205782,0.89609,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860809,1,aggregate,data_driven,11.123893943674608,0.5762136260912811,10.547680317583326,94.82003667952144,0.8951300000000001,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860810,2,aggregate,data_driven,10.498334074978649,0.39385485311524526,10.104479221863404,96.24840617280465,0.8950740000000004,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860811,3,aggregate,data_driven,10.787419017231361,0.48461760960340605,10.302801407627955,95.50756664935979,0.8944640000000001,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860812,4,aggregate,data_driven,11.343018386566142,0.5161605957253546,10.826857790840787,95.44953046768698,0.895244,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860813,5,aggregate,data_driven,11.403767606995498,0.5876062563095186,10.816161350685979,94.84726209302039,0.8947600000000002,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860814,6,aggregate,data_driven,10.334569775174472,0.5063976305590447,9.828172144615428,95.0999640858248,0.8954999999999996,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860815,7,aggregate,data_driven,10.60323137156999,0.46015845562370394,10.143072915946286,95.66020546474627,0.8948939999999999,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860816,8,aggregate,data_driven,10.637529407377919,0.36567820388175676,10.271851203496162,96.56237656435401,0.8946039999999995,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
pairwise_equal_mix,P067,GoiEner + Norway,goiener_smart_meters,GoiEner,0.5,2500,norway_ami_energy_distribution,Norway,0.5,2500,5000,26860817,9,aggregate,data_driven,10.987975829889619,0.4883250516690456,10.499650778220573,95.55582339068586,0.8957080000000003,1.0,0,0.0,False,1.0,False,1.0,dataset_combinations_pairwise_equal_mix_curtailment_v1,66
