scenario_id,sampling_mode,partition,seed_index,seed,composition_regime
S1-B,non_unique,test,13,4692418,dominant_plus_15pp
S1-B,non_unique,test,14,4692419,dominant_plus_15pp
S1-B,non_unique,test,15,4692420,dominant_plus_15pp
S1-B,non_unique,test,16,4692421,dominant_plus_15pp
S1-B,non_unique,test,17,4692422,dominant_plus_15pp
S1-B,non_unique,test,18,4692423,dominant_plus_15pp
S1-B,non_unique,test,19,4692424,dominant_plus_15pp
S1-B,non_unique,test,20,4692425,dominant_minus_15pp
S1-B,non_unique,test,21,4692426,dominant_minus_15pp
S1-B,non_unique,test,22,4692427,dominant_minus_15pp
S1-B,non_unique,test,23,4692428,dominant_minus_15pp
S1-B,non_unique,test,24,4692429,dominant_minus_15pp
S1-B,non_unique,test,25,4692430,dominant_minus_15pp
S1-B,non_unique,test,26,4692431,dominant_minus_15pp
S1-B,non_unique,test,27,4692432,dominant_minus_15pp
S1-B,non_unique,test,28,4692433,dominant_minus_15pp
S1-B,non_unique,test,29,4692434,dominant_minus_15pp
S2-A,unique,train,,5620000,fixed
S2-A,unique,validation,,5622000,fixed
S2-A,unique,test,0,6699504,nominal
S2-A,unique,test,1,6699505,nominal
S2-A,unique,test,2,6699506,nominal
S2-A,unique,test,3,6699507,nominal
S2-A,unique,test,4,6699508,nominal
S2-A,unique,test,5,6699509,nominal
S2-A,unique,test,6,6699510,nominal
S2-A,unique,test,7,6699511,nominal
S2-A,unique,test,8,6699512,nominal
S2-A,unique,test,9,6699513,nominal
S2-A,unique,test,10,6699514,dominant_plus_15pp
S2-A,unique,test,11,6699515,dominant_plus_15pp
S2-A,unique,test,12,6699516,dominant_plus_15pp
S2-A,unique,test,13,6699517,dominant_plus_15pp
S2-A,unique,test,14,6699518,dominant_plus_15pp
S2-A,unique,test,15,6699519,dominant_plus_15pp
S2-A,unique,test,16,6699520,dominant_plus_15pp
S2-A,unique,test,17,6699521,dominant_plus_15pp
S2-A,unique,test,18,6699522,dominant_plus_15pp
S2-A,unique,test,19,6699523,dominant_plus_15pp
S2-A,unique,test,20,6699524,dominant_minus_15pp
S2-A,unique,test,21,6699525,dominant_minus_15pp
S2-A,unique,test,22,6699526,dominant_minus_15pp
S2-A,unique,test,23,6699527,dominant_minus_15pp
S2-A,unique,test,24,6699528,dominant_minus_15pp
S2-A,unique,test,25,6699529,dominant_minus_15pp
S2-A,unique,test,26,6699530,dominant_minus_15pp
S2-A,unique,test,27,6699531,dominant_minus_15pp
S2-A,unique,test,28,6699532,dominant_minus_15pp
S2-A,unique,test,29,6699533,dominant_minus_15pp
S2-A,non_unique,train,,3620000,fixed
S2-A,non_unique,validation,,3622000,fixed
S2-A,non_unique,test,0,4699504,nominal
S2-A,non_unique,test,1,4699505,nominal
S2-A,non_unique,test,2,4699506,nominal
S2-A,non_unique,test,3,4699507,nominal
S2-A,non_unique,test,4,4699508,nominal
S2-A,non_unique,test,5,4699509,nominal
S2-A,non_unique,test,6,4699510,nominal
S2-A,non_unique,test,7,4699511,nominal
S2-A,non_unique,test,8,4699512,nominal
S2-A,non_unique,test,9,4699513,nominal
S2-A,non_unique,test,10,4699514,dominant_plus_15pp
S2-A,non_unique,test,11,4699515,dominant_plus_15pp
S2-A,non_unique,test,12,4699516,dominant_plus_15pp
S2-A,non_unique,test,13,4699517,dominant_plus_15pp
S2-A,non_unique,test,14,4699518,dominant_plus_15pp
S2-A,non_unique,test,15,4699519,dominant_plus_15pp
S2-A,non_unique,test,16,4699520,dominant_plus_15pp
